2024-06-09 20:42:08,788.bbq_producer.INFO ==================================================
2024-06-09 20:42:08,788.bbq_producer.INFO Today is 2024-06-09 at 08:42 PM
2024-06-09 20:42:08,788.bbq_producer.INFO Running on: posix Darwin 21.4.0
2024-06-09 20:42:08,788.bbq_producer.INFO Python version:  3.12.2
2024-06-09 20:42:08,788.bbq_producer.INFO Python path: /Library/Frameworks/Python.framework/Versions/3.12
2024-06-09 20:42:08,788.bbq_producer.INFO Working dir: /Users/olakunlealabi/Documents/streaming-05-smart-smoker-5
2024-06-09 20:42:08,788.bbq_producer.INFO ==================================================
2024-06-09 20:42:10,879.bbq_producer.INFO Opened RabbitMQ
2024-06-09 20:42:10,911.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:20:15', 84.2)
2024-06-09 20:42:10,928.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:20:20', 84.2)
2024-06-09 20:42:10,943.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:21:10', 87.6)
2024-06-09 20:42:10,959.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:21:15', 87.6)
2024-06-09 20:42:10,973.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:22:10', 86.3)
2024-06-09 20:42:10,985.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:22:15', 86.3)
2024-06-09 20:42:10,998.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:23:10', 92.0)
2024-06-09 20:42:11,010.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:23:15', 92.0)
2024-06-09 20:42:11,023.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:24:10', 96.8)
2024-06-09 20:42:11,034.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:24:15', 96.8)
2024-06-09 20:42:11,046.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:05', 100.6)
2024-06-09 20:42:11,058.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:10', 100.9)
2024-06-09 20:42:11,068.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:15', 100.9)
2024-06-09 20:42:11,081.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:26:10', 104.8)
2024-06-09 20:42:11,092.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:26:15', 104.8)
2024-06-09 20:42:11,102.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:27:10', 108.2)
2024-06-09 20:42:11,114.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:27:15', 108.2)
2024-06-09 20:42:11,124.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:28:10', 111.4)
2024-06-09 20:42:11,135.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:28:15', 111.4)
2024-06-09 20:42:11,145.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:29:10', 114.2)
2024-06-09 20:42:11,156.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:29:15', 114.2)
2024-06-09 20:42:11,166.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:30:10', 116.9)
2024-06-09 20:42:11,178.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:30:15', 116.9)
2024-06-09 20:42:11,189.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:31:10', 119.4)
2024-06-09 20:42:11,199.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:31:15', 119.4)
2024-06-09 20:42:11,209.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:32:10', 120.1)
2024-06-09 20:42:11,220.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:32:15', 120.1)
2024-06-09 20:42:11,231.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:33:10', 106.2)
2024-06-09 20:42:11,240.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:33:15', 106.2)
